movieId,Ratings,class
228,2.3,no
229,3.4,yes
230,3.4,yes
231,3.1,yes
232,3.9,yes
233,3.5,yes
234,2.6,no
235,3.7,yes
236,3.5,yes
237,3.3,yes
238,4,yes
239,3,yes
240,2.4,no
241,4,yes
242,3.6,yes
243,3,yes
246,4.3,yes
247,3.9,yes
248,3.2,yes
249,3.7,yes
250,2.5,no
251,3,yes
252,3.5,yes
253,3.5,yes
254,3,yes
255,2.1,no
256,2.8,no
257,3.5,yes
258,2.6,no
259,3.2,yes
260,4.2,yes
261,3.9,yes
262,3.9,yes
263,4,yes
265,3.9,yes
266,3.4,yes
267,2.9,no
269,3,yes
270,3.4,yes
271,3.5,yes
272,3.8,yes
273,2.9,no
274,2.9,no
275,2,no
276,3.2,yes
277,3.2,yes
278,1.5,no
279,3,yes
280,4.1,yes
281,3.8,yes
282,3.3,yes
283,3.7,yes
284,4.5,yes
285,4,yes
287,3,yes
288,3.2,yes
289,3.6,yes
290,4,yes
291,2.3,no
292,3.4,yes
293,4,yes
294,3,yes
295,3,yes
296,4.2,yes
298,2,no
299,4,yes
300,3.5,yes
301,4,yes
302,3.2,yes
303,3,yes
304,3.7,yes
305,2.8,no
306,4.2,yes
307,3.9,yes
308,4,yes
310,3,yes
311,3,yes
312,1.4,no
313,3.3,yes
314,3.8,yes
315,3.1,yes
316,3.4,yes
317,3.2,yes
318,4.4,yes
319,3.6,yes
320,3,yes
321,4,yes
322,3.6,yes
324,4,yes
325,2.5,no
326,4,yes
327,2.8,no
328,3.2,yes
329,3.4,yes
330,3,yes
331,3,yes
332,2.8,no
333,3.8,yes
334,4.2,yes
335,3.5,yes
336,3,yes
337,3.8,yes
338,2.8,no
339,3.5,yes
340,3.4,yes
341,4,yes
342,3.3,yes
343,2.9,no
344,3,yes
345,3.6,yes
346,3.5,yes
347,3.5,yes
348,3.6,yes
349,3.6,yes
350,3.4,yes
351,3.2,yes
352,2.5,no
353,3.6,yes
354,3.3,yes
355,2.4,no
356,4.2,yes
357,3.5,yes
358,2.7,no
359,3,yes
360,2.7,no
361,3.1,yes
362,3.5,yes
363,4,yes
364,3.9,yes
365,3.2,yes
366,2.9,no
367,3.2,yes
368,3.5,yes
369,4,yes
370,3.1,yes
371,3.3,yes
372,2.8,no
373,3.6,yes
374,2.2,no
376,3.2,yes
377,3.5,yes
378,2.8,no
379,2.5,no
380,3.5,yes
381,3.8,yes
382,3.2,yes
383,3.1,yes
384,3.2,yes
385,4,yes
386,3,yes
387,2.4,no
388,3,yes
389,4.5,yes
390,3.7,yes
391,4.5,yes
393,2.5,no
405,2.4,no
406,3,yes
407,3.4,yes
408,3,yes
409,2,no
410,3.1,yes
412,3.5,yes
413,2.8,no
414,2.3,no
415,2.5,no
416,2.5,no
417,3.7,yes
418,3,yes
419,2.7,no
420,2.7,no
421,3.2,yes
422,3.2,yes
423,2.8,no
424,1.8,no
425,3.8,yes
426,3.1,yes
427,2.5,no
428,3.7,yes
429,2,no
430,3.8,yes
431,3.7,yes
432,2.6,no
433,2.8,no
434,3,yes
435,2.4,no
436,2.6,no
437,2.2,no
438,2.7,no
440,3.5,yes
441,3.9,yes
442,3.1,yes
444,2.3,no
445,3,yes
446,3.8,yes
448,3.6,yes
449,1,no
450,3,yes
451,4,yes
452,3,yes
453,2.8,no
454,3.5,yes
455,2.4,no
456,3.8,yes
457,4,yes
458,2.8,no
459,2.2,no
460,2.7,no
461,2.8,no
464,2.9,no
466,2.9,no
467,5,yes
468,3.2,yes
469,3.4,yes
470,1,no
471,3.6,yes
472,2.6,no
473,1.9,no
474,3.7,yes
475,4.3,yes
476,1,no
477,3.4,yes
478,2.5,no
479,2.2,no
480,3.8,yes
481,3.2,yes
482,3.6,yes
484,3,yes
485,2.9,no
486,3,yes
487,2.5,no
488,3,yes
489,2.9,no
490,3,yes
491,3.3,yes
492,3.8,yes
493,3.7,yes
494,3.4,yes
495,5,yes
496,5,yes
497,3.8,yes
499,2.5,no
500,3.4,yes
501,3.7,yes
502,2.4,no
504,3,yes
505,2.2,no
506,4.5,yes
507,3.4,yes
508,3.6,yes
509,3.5,yes
510,3,yes
511,3,yes
512,3,yes
513,3.4,yes
514,3.4,yes
515,3.6,yes
516,3.1,yes
517,3.3,yes
518,2.4,no
519,2.4,no
520,3.1,yes
521,3.2,yes
522,3.3,yes
523,3.5,yes
524,3.5,yes
526,4,yes
527,4.2,yes
528,2.3,no
529,3.9,yes
531,3.2,yes
532,3,yes
533,2.9,no
534,3.6,yes
535,3.3,yes
536,3.3,yes
537,3.2,yes
538,3.6,yes
539,3.5,yes
540,2.7,no
541,4.1,yes
542,2.8,no
543,3.3,yes
544,2.4,no
546,2,no
547,3.2,yes
548,2.8,no
549,4.5,yes
550,3.4,yes
551,3.6,yes
552,3.3,yes
553,3.8,yes
555,3.8,yes
556,3.3,yes
558,2.9,no
562,3.5,yes
563,4,yes
564,1.5,no
567,2,no
568,3.5,yes
569,2.7,no
573,3.5,yes
574,3.2,yes
575,2.7,no
577,2.1,no
579,3,yes
580,2.8,no
581,4,yes
583,4,yes
585,2.7,no
586,3,yes
587,3.4,yes
588,3.8,yes
589,4,yes
590,3.8,yes
592,3.4,yes
593,4.2,yes
594,3.6,yes
595,3.8,yes
596,3.4,yes
597,3.5,yes
599,3.8,yes
600,4,yes
602,4,yes
605,3,yes
606,3,yes
608,4.1,yes
609,3.6,yes
610,3.5,yes
611,2.4,no
612,2.5,no
613,3.2,yes
615,3,yes
616,3.4,yes
617,2.8,no
618,3,yes
619,2.6,no
626,5,yes
627,3.3,yes
628,3.6,yes
631,3.2,yes
632,4,yes
633,5,yes
634,2.2,no
635,3,yes
636,3,yes
637,3,yes
638,3,yes
639,3,yes
640,2.7,no
645,3.5,yes
647,3.3,yes
648,3.5,yes
649,3,yes
650,3,yes
653,3.1,yes
656,3,yes
661,3.4,yes
662,3.3,yes
663,3.3,yes
665,4.3,yes
667,2.8,no
668,4.2,yes
670,4.8,yes
671,3.5,yes
673,2.7,no
674,3.2,yes
678,3.8,yes
679,4,yes
680,4.1,yes
685,4,yes
688,2.3,no
691,3.3,yes
692,2,no
694,3,yes
695,4,yes
697,2.7,no
698,1,no
700,3.2,yes
703,2,no
704,2.6,no
706,3,yes
707,2.9,no
708,3.4,yes
709,3.1,yes
710,2.6,no
711,3,yes
714,4,yes
715,3.7,yes
718,4.1,yes
719,2.8,no
720,4.1,yes
722,4,yes
724,3,yes
725,2.5,no
726,3,yes
728,3.5,yes
731,3.3,yes
733,3.6,yes
735,3.9,yes
736,3.3,yes
737,2.6,no
741,4.1,yes
742,2.8,no
743,2.5,no
745,3.9,yes
747,3.3,yes
748,3.1,yes
750,4.3,yes
757,4,yes
759,3.5,yes
760,4.2,yes
761,2.8,no
762,2.4,no
764,3.5,yes
765,3.2,yes
766,3.5,yes
773,3.5,yes
775,3,yes
778,4,yes
779,4,yes
780,3.4,yes
781,3.5,yes
782,3,yes
783,3.3,yes
784,2.8,no
785,3.4,yes
786,3.1,yes
788,2.7,no
790,2,no
791,4,yes
795,3.5,yes
798,2.7,no
799,3.5,yes
800,4.2,yes
801,3.1,yes
802,3.3,yes
803,4,yes
804,3.2,yes
805,3.7,yes
806,1.5,no
808,3.5,yes
809,2.3,no
810,2.2,no
813,2.8,no
818,3.2,yes
823,3.5,yes
824,4,yes
828,3.3,yes
829,2.7,no
830,3.1,yes
832,3.3,yes
833,2,no
835,3.7,yes
836,2.9,no
837,3.3,yes
838,3.9,yes
839,2.8,no
840,3.4,yes
841,3,yes
842,2.5,no
848,3.3,yes
849,2.9,no
851,2.8,no
852,3.2,yes
858,4.3,yes
861,3.8,yes
866,4,yes
867,1.8,no
869,3.7,yes
870,1,no
875,3.5,yes
876,5,yes
879,3,yes
880,2.7,no
881,2.1,no
882,2,no
885,2.5,no
886,2.7,no
888,2.2,no
889,4,yes
891,3.8,yes
892,3.5,yes
893,3.7,yes
896,2.5,no
897,3.8,yes
898,4.3,yes
899,4.1,yes
900,3.7,yes
901,3,yes
902,3.8,yes
903,4,yes
904,4.3,yes
905,4.3,yes
906,4.1,yes
907,3.5,yes
908,4.2,yes
909,4,yes
910,4,yes
911,3.8,yes
912,4.2,yes
913,4.2,yes
914,4,yes
915,3.8,yes
916,4.1,yes
917,3.5,yes
918,4.1,yes
919,3.9,yes
920,3.6,yes
921,3.4,yes
922,4.3,yes
923,4,yes
924,3.9,yes
926,4.2,yes
927,4,yes
928,4.2,yes
929,3.5,yes
930,4.2,yes
931,3.8,yes
932,3.9,yes
933,4.2,yes
934,3.2,yes
935,3.8,yes
936,4,yes
937,3.5,yes
938,3.2,yes
940,4,yes
941,3.8,yes
942,4.3,yes
943,3.9,yes
944,4,yes
945,4.1,yes
946,2.5,no
947,3.8,yes
948,3.9,yes
949,3.9,yes
950,3.9,yes
951,4.4,yes
952,3.6,yes
953,4,yes
954,4.1,yes
955,3.9,yes
956,4,yes
959,3.5,yes
961,4,yes
963,3,yes
965,4,yes
968,3.8,yes
969,4,yes
970,3.5,yes
971,4.1,yes
973,3.9,yes
976,3,yes
979,3,yes
981,3,yes
982,3,yes
984,3.5,yes
986,3.5,yes
987,3,yes
988,3,yes
990,2.9,no
991,3.3,yes
993,3,yes
994,4.2,yes
996,2.5,no
998,3,yes
999,3,yes
1003,2.5,no
1004,3,yes
1005,2.2,no
1006,3.5,yes
1007,2.6,no
1008,3,yes
1009,3.1,yes
1010,3.1,yes
1011,2.9,no
1012,3.4,yes
1013,3.2,yes
1014,2.9,no
1015,3,yes
1016,2.9,no
1017,3.5,yes
1018,2.4,no
1019,3.5,yes
1020,3.1,yes
1021,2.3,no
1022,3.5,yes
1023,3.6,yes
1024,3.7,yes
1025,3.6,yes
1027,3,yes
1028,3.9,yes
1029,3.4,yes
1030,2.8,no
1031,3.5,yes
1032,3.4,yes
1033,3.6,yes
1034,3.1,yes
1035,3.9,yes
1036,3.9,yes
1037,2.8,no
1040,3,yes
1041,4.6,yes
1042,3.3,yes
1043,2.4,no
1046,4.5,yes
1047,3.3,yes
1049,3.5,yes
1050,3.9,yes
1051,4,yes
1053,3,yes
1054,2,no
1055,1.5,no
1056,3.1,yes
1057,3.5,yes
1059,3.7,yes
1060,3.7,yes
1061,3.7,yes
1064,3.2,yes
1066,4.5,yes
1068,3.5,yes
1073,3.9,yes
1076,0,no
1077,3.8,yes
1078,3.4,yes
1079,3.9,yes
1080,3.9,yes
1081,3.5,yes
1082,3.6,yes
1083,3.3,yes
1084,4.1,yes
1085,3.5,yes
1086,4.1,yes
1088,3.4,yes
1089,4.2,yes
1090,4,yes
1091,2.5,no
1092,3.2,yes
1093,3.4,yes
1094,3.4,yes
1095,3.7,yes
1096,4,yes
1097,3.8,yes
1099,3.4,yes
1100,2.7,no
1101,3.3,yes
1103,4.1,yes
1104,4.5,yes
1105,4.7,yes
1107,2,no
1111,4.1,yes
1112,4.5,yes
1114,3,yes
1116,4,yes
1117,3.5,yes
1119,3,yes
1120,3.5,yes
1121,4,yes
1123,4.2,yes
1124,3.7,yes
1125,3.7,yes
1126,2.8,no
1127,3.5,yes
1128,2.5,no
1129,3.4,yes
1130,2.9,no
1131,4.1,yes
1132,4.1,yes
1135,3.1,yes
1136,4.2,yes
1137,4,yes
1140,5,yes
1144,4,yes
1147,3.9,yes
1148,4,yes
1150,4.3,yes
1151,5,yes
1156,3.5,yes
1161,3.7,yes
1162,3,yes
1163,1,no
1167,3.5,yes
1170,2.5,no
1171,3.4,yes
1172,4.2,yes
1173,3.1,yes
1175,3.8,yes
1176,4,yes
1177,4,yes
1178,4.5,yes
1179,3.6,yes
1180,3,yes
1183,3.7,yes
1184,3.9,yes
1185,4,yes
1186,3.6,yes
1187,3.6,yes
1188,3.7,yes
1189,4,yes
1190,3.2,yes
1191,3.5,yes
1192,4.5,yes
1193,4.2,yes
1194,3.6,yes
1196,4.2,yes
1197,4.2,yes
1198,4.2,yes
1199,4.2,yes
1200,4,yes
1201,4.1,yes
1202,3.9,yes
1203,4.1,yes
1204,4.3,yes
1206,4,yes
1207,4.1,yes
1208,4.2,yes
1209,4.3,yes
1210,4.1,yes
1211,3.9,yes
1212,4.2,yes
1213,4.2,yes
1214,4,yes
1215,4,yes
1216,3.5,yes
1217,4.4,yes
1218,4,yes
1219,4,yes
1220,3.8,yes
1221,4.3,yes
1222,4.1,yes
1223,4.1,yes
1224,4,yes
1225,4.2,yes
1226,3.5,yes
1227,4.1,yes
1228,4.2,yes
1230,3.9,yes
1231,3.9,yes
1232,3.6,yes
1233,4.2,yes
1234,4,yes
1235,4.3,yes
1236,4.3,yes
1237,4.2,yes
1238,4.1,yes
1240,3.9,yes
1241,4,yes
1242,4.2,yes
1243,4,yes
1244,4.1,yes
1245,4.2,yes
1246,4,yes
1247,4.1,yes
1248,4.3,yes
1249,4.1,yes
1250,4.1,yes
1251,4.1,yes
1252,4.2,yes
1253,3.8,yes
1254,3.7,yes
1255,3,yes
1256,3.8,yes
1257,3.7,yes
1258,4.1,yes
1259,4,yes
1260,3.7,yes
1261,4,yes
1262,4.1,yes
1263,3.8,yes
1264,3.8,yes
1265,3.9,yes
1266,4.1,yes
1267,4.2,yes
1268,3.6,yes
1269,3.9,yes
1270,4,yes
1271,3.5,yes
1272,4.1,yes
1273,4,yes
1274,3.7,yes
1275,3.7,yes
1276,4.3,yes
1277,4.1,yes
1278,4,yes
1279,4.1,yes
1280,4.3,yes
1281,4.1,yes
1282,3.8,yes
1283,4.2,yes
1284,4.1,yes
1285,3.7,yes
1286,3.1,yes
1287,3.9,yes
1288,4,yes
1289,3.9,yes
1290,3.4,yes
1291,4,yes
1292,4,yes
1293,3.8,yes
1295,3.2,yes
1296,3.7,yes
1297,3.7,yes
1298,3.8,yes
1299,4,yes
1300,4.2,yes
1301,3.8,yes
1302,3.5,yes
1303,4,yes
1304,3.9,yes
1305,3.5,yes
1306,2.7,no
1307,3.9,yes
1310,5,yes
1312,2.5,no
1318,2,no
1320,3.1,yes
1321,3.4,yes
1322,1.5,no
1323,1.7,no
1324,1.2,no
1325,1.2,no
1326,1.1,no
1327,2.6,no
1328,0.8,no
1329,2.8,no
1330,1.5,no
1331,2,no
1332,3.7,yes
1333,3.6,yes
1334,3,yes
1335,1,no
1336,1,no
1337,4.5,yes
1339,3.5,yes
1340,3.2,yes
1341,3.8,yes
1342,2.5,no
1343,3.8,yes
1344,4,yes
1345,3.3,yes
1346,2.8,no
1347,3,yes
1348,3.5,yes
1349,5,yes
1350,3.8,yes
1351,2.3,no
1352,2.2,no
1353,3.4,yes
1354,4.1,yes
1355,2,no
1356,3.9,yes
1357,4,yes
1358,3.8,yes
1359,2.9,no
1361,4.1,yes
1363,3.5,yes
1365,3.6,yes
1366,3.9,yes
1367,3.1,yes
1370,3.4,yes
1371,3,yes
1372,3.3,yes
1373,2.7,no
1374,3.8,yes
1375,3.3,yes
1376,3.5,yes
1377,3,yes
1378,3.1,yes
1379,3,yes
1380,3.1,yes
1381,2.1,no
1382,1.9,no
1385,2.9,no
1387,4,yes
1388,2.6,no
1389,1.4,no
1390,2.7,no
1391,3.1,yes
1392,4.1,yes
1393,3.6,yes
1394,4,yes
1395,3,yes
1396,3.5,yes
1397,4,yes
1398,2.5,no
1399,3.1,yes
1401,3.3,yes
1405,2.9,no
1406,4.5,yes
1407,3.2,yes
1408,3.8,yes
1409,2.5,no
1411,4,yes
1412,3.5,yes
1413,4.2,yes
1414,3,yes
1415,2.5,no
1416,3.4,yes
1417,3.2,yes
1419,4.2,yes
1422,2.8,no
1423,4,yes
1425,3,yes
1426,1,no
1427,1,no
1428,3,yes
1429,3.6,yes
1430,3,yes
1431,2.5,no
1432,2.7,no
1437,4.2,yes
1438,2.6,no
1439,2.2,no
1440,1.5,no
1441,3.5,yes
1442,3.5,yes
1445,2.1,no
1446,4.4,yes
1447,3.4,yes
1449,3.9,yes
1453,1.8,no
1454,3.8,yes
1456,2,no
1457,3.1,yes
1458,4,yes
1459,2.7,no
1460,3.2,yes
1461,2.3,no
1464,3.3,yes
1465,3.3,yes
1466,3.7,yes
1468,2.6,no
1473,4,yes
1474,2.1,no
1475,4,yes
1476,3.5,yes
1477,4,yes
1479,3.2,yes
1480,3.4,yes
1483,3.1,yes
1484,3.7,yes
1485,3,yes
1487,3,yes
1488,2.8,no
1489,3,yes
1490,1.5,no
1493,3.5,yes
1495,2,no
1496,4,yes
1497,4,yes
1498,3,yes
1499,1.9,no
1500,3.6,yes
1502,2.5,no
1503,3,yes
1507,3.5,yes
1513,3,yes
1514,3,yes
1515,2.1,no
1516,3,yes
1517,3.5,yes
1518,3.3,yes
1519,1,no
1526,1,no
1527,3.7,yes
1529,3.3,yes
1533,4.5,yes
1537,3.8,yes
1541,2.7,no
1542,3.7,yes
1544,2.8,no
1545,4.5,yes
1546,3.5,yes
1547,3.2,yes
1549,4,yes
1550,2.2,no
1551,2.2,no
1552,3,yes
1554,2.4,no
1556,1.6,no
1562,2.2,no
1564,4,yes
1565,4,yes
1566,3.5,yes
1569,3.5,yes
1571,4.5,yes
1572,3,yes
1573,3.4,yes
1574,1,no
1580,3.5,yes
1581,2.2,no
1582,2.6,no
1583,3,yes
1584,3.7,yes
1585,3,yes
1586,2.8,no
1587,3.3,yes
1588,3.1,yes
1589,3.3,yes
1590,2.9,no
1591,2.6,no
1592,2.4,no
1593,2.8,no
1594,4.1,yes
1596,4.3,yes
1597,2.9,no
1598,2.5,no
1599,2.3,no
1600,3.5,yes
1601,2.3,no
1602,1.8,no
1603,2.5,no
1604,3.3,yes
1605,2.8,no
1606,2.3,no
1608,3.3,yes
1609,2.7,no
1610,3.9,yes
1611,4.1,yes
1612,3,yes
1613,4,yes
1614,2.8,no
1615,3,yes
1616,3,yes
1617,4.1,yes
1619,3.4,yes
1620,3.1,yes
1621,3.2,yes
1623,2.2,no
1624,1.8,no
1625,3.7,yes
1626,2.7,no
1627,3.4,yes
1629,3.3,yes
1631,5,yes
1633,4,yes
1635,3.9,yes
1639,3.6,yes
1641,3.8,yes
1642,1.8,no
1643,3.8,yes
1644,2.1,no
1645,3.4,yes
1646,2.1,no
1647,2.5,no
1648,3.5,yes
1649,2.5,no
1650,3.8,yes
1652,4.5,yes
1653,4,yes
1654,3.5,yes
1655,4,yes
1656,4,yes
1658,3.1,yes
1659,4,yes
1660,3,yes
1661,3,yes
1662,3,yes
1663,3.8,yes
1665,3,yes
1667,2.1,no
1670,3,yes
1671,3,yes
1672,3.4,yes
1673,4.1,yes
1674,3.6,yes
1675,3.5,yes
1676,3.3,yes
1677,2,no
1678,3.5,yes
1679,2,no
1680,3.6,yes
1681,1.9,no
1682,3.8,yes
1683,4.4,yes
1684,3.5,yes
1685,3,yes
1686,3.7,yes
1687,3.2,yes
1688,3.4,yes
1689,2.2,no
1690,2.9,no
1693,3.5,yes
1694,3,yes
1695,4,yes
1696,3.5,yes
1699,4,yes
1701,3.9,yes
1702,3,yes
1703,2.9,no
1704,4.1,yes
1707,1.9,no
1711,3.1,yes
1713,3.1,yes
1717,2.9,no
1718,3.2,yes
1719,4.2,yes
1721,3.4,yes
1722,3.1,yes
1726,2.7,no
1727,3.8,yes
1729,3.7,yes
1730,3.2,yes
1731,1.8,no
1732,3.9,yes
1733,4.5,yes
1734,4.1,yes
1735,3.3,yes
1739,4,yes
1746,2,no
1747,3.3,yes
1748,3.8,yes
1752,2.5,no
1753,3.6,yes
1754,3.5,yes
1755,4.1,yes
1757,2,no
1759,5,yes
1760,1.4,no
1762,2.3,no
1767,3,yes
1769,2.9,no
1770,2.5,no
1771,4,yes
1772,2.7,no
1777,3.4,yes
1779,2.8,no
1783,2.8,no
1784,3.7,yes
1785,3.9,yes
1791,2.3,no
1792,3,yes
1793,4,yes
1794,3,yes
1797,4.2,yes
1798,2,no
1799,3.4,yes
1801,3.5,yes
1804,3,yes
1805,3,yes
1806,2.3,no
1807,3,yes
1809,4,yes
1810,3.5,yes
1812,3.7,yes
1816,2,no
1821,2.7,no
1824,1,no
1825,3.5,yes
1826,2,no
1827,3.3,yes
1829,3.2,yes
1831,2.4,no
1833,3,yes
1834,4,yes
1835,3.4,yes
1836,4.5,yes
1837,2.2,no
1839,3,yes
1840,3.2,yes
1841,3,yes
1844,3.9,yes
1845,4,yes
1848,3,yes
1855,2.6,no
1856,4,yes
1857,3.5,yes
1858,2.6,no
1859,3.7,yes
1860,2.6,no
1862,1.9,no
1863,2.4,no
1866,2.9,no
1867,2,no
1870,3,yes
1873,3.8,yes
1875,3.9,yes
1876,3.1,yes
1881,2,no
1882,2,no
1883,3.3,yes
1884,4,yes
1885,3.1,yes
1887,2,no
1888,2.7,no
1889,3.8,yes
1891,2,no
1892,3.3,yes
1893,4.5,yes
1894,2.8,no
1895,3.3,yes
1897,3.5,yes
1900,4,yes
1902,4,yes
1904,3.3,yes
1906,2.5,no
1907,3.6,yes
1909,3.4,yes
1910,2,no
1911,2.6,no
1912,3.9,yes
1913,4,yes
1914,3.4,yes
1916,3.4,yes
1917,3.1,yes
1918,2.8,no
1919,2.5,no
1920,2.8,no
1921,3.9,yes
1922,3.5,yes
1923,3.7,yes
1924,3.2,yes
1926,3,yes
1927,4.4,yes
1928,3.5,yes
1929,4,yes
1931,4.2,yes
1932,3.5,yes
1933,3,yes
1934,3.8,yes
1936,4,yes
1937,3.2,yes
1938,4,yes
1939,4.1,yes
1940,4,yes
1941,3.5,yes
1942,4.2,yes
1944,4,yes
1945,4.2,yes
1946,3.8,yes
1947,3.6,yes
1948,3.6,yes
1949,4.3,yes
1950,4.2,yes
1951,3.6,yes
1952,4,yes
1953,3.9,yes
1954,3.8,yes
1955,3.9,yes
1956,4,yes
1957,4,yes
1958,3.8,yes
1959,3.7,yes
1960,3.7,yes
1961,3.8,yes
1962,3.7,yes
1963,3.4,yes
1964,4.1,yes
1965,3.4,yes
1966,3.6,yes
1967,3.8,yes
1968,3.8,yes
1969,2.4,no
1970,2.9,no
1971,2.4,no
1972,2.1,no
1973,2.2,no
1974,2.9,no
1975,2.5,no
1976,2.2,no
1977,2.6,no
1978,2.5,no
1979,3.2,yes
1980,2,no
1981,2,no
1982,3.7,yes
1983,2.4,no
1984,2.2,no
1985,2,no
1986,1.5,no
1987,2.5,no
1990,4,yes
1991,2.7,no
1992,2.4,no
1993,1.8,no
1994,3.4,yes
1995,1.7,no
1996,1.9,no
1997,3.8,yes
1998,1.5,no
1999,2,no
2000,3.7,yes
2001,3.2,yes
2002,2.9,no
2003,3.4,yes
2004,3.3,yes
2005,3.6,yes
2006,3.1,yes
2007,3.5,yes
2008,3,yes
2009,3.5,yes
2010,3.9,yes
2011,3.5,yes
2012,3.4,yes
2013,3.1,yes
2014,2.6,no
2015,3.4,yes
2016,2.9,no
2017,3.1,yes
2018,3.4,yes
2019,4.2,yes
2020,4,yes
2021,3.4,yes
2022,3.7,yes
2023,3.4,yes
2024,3.3,yes
2025,3.9,yes
2026,2,no
2027,1.8,no
2028,4.1,yes
2032,2,no
2033,3.8,yes
2034,2.6,no
2035,3.7,yes
2036,2.2,no
2037,4,yes
2038,2.3,no
2040,2.9,no
2041,3.3,yes
2042,2.6,no
2043,2.8,no
2044,2.5,no
2046,3.2,yes
2048,3.6,yes
2050,2.9,no
2051,2.3,no
2052,2.8,no
2053,2,no
2054,2.8,no
2055,3,yes
2056,3,yes
2057,3.4,yes
2058,3.4,yes
2059,3,yes
2060,3.1,yes
2064,3.8,yes
2065,3.7,yes
2066,4.1,yes
2067,4.1,yes
2068,2.8,no
2069,4.2,yes
2070,3.4,yes
2071,3.2,yes
2072,3.2,yes
2073,3.6,yes
2074,3.7,yes
2075,5,yes
2076,3.9,yes
2077,3.4,yes
2078,3.8,yes
2080,3.4,yes
2081,3.4,yes
2082,2.7,no
2083,3.7,yes
2084,2.7,no
2085,3.4,yes
2087,3.6,yes
2088,2.5,no
2089,3.5,yes
2090,3.2,yes
2091,2.2,no
2092,2.4,no
2093,3,yes
2094,3.3,yes
2095,2.8,no
2096,3.4,yes
2097,2.9,no
2098,2.5,no
2099,3.4,yes
2100,3.1,yes
2102,2.3,no
2103,2.5,no
2104,4,yes
2105,3.3,yes
2106,3.7,yes
2107,3,yes
2108,3.5,yes
2109,3.4,yes
2110,3.3,yes
2111,3.2,yes
2112,3.2,yes
2114,3.7,yes
2115,3.6,yes
2116,3.1,yes
2117,3.7,yes
2118,3.7,yes
2119,1.3,no
2120,2,no
2121,2.2,no
2122,2.5,no
2123,2.7,no
2124,3.3,yes
2125,3.6,yes
2126,2.8,no
2130,3.7,yes
2131,4.6,yes
