movieId,title,genres,imdbId,links,,,Ratings,Class,
24,Powder (1995),"8,15",114168,http://www.imdb.com/title/tt0114168,,,3.1,yes,
25,Leaving Las Vegas (1995),"8,14",113627,http://www.imdb.com/title/tt0113627,,,3.6,yes,
26,Othello (1995),8,114057,http://www.imdb.com/title/tt0114057,,,3.5,yes,
27,Now and Then (1995),"4,8",114011,http://www.imdb.com/title/tt0114011,,,3.3,yes,
28,Persuasion (1995),"8,14",114117,http://www.imdb.com/title/tt0114117,,,4.2,yes,
29,"City of Lost 4, The (Cité des enfants perdus, La) (1995)","2,8,9,13,15",112682,http://www.imdb.com/title/tt0112682,,,4,yes,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"6,8",115012,http://www.imdb.com/title/tt0115012,,,3,no,
31,Dangerous Minds (1995),8,112792,http://www.imdb.com/title/tt0112792,,,3.2,yes,
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"13,15,16",114746,http://www.imdb.com/title/tt0114746,,,4,yes,
34,Babe (1995),"4,8",112431,http://www.imdb.com/title/tt0112431,,,3.7,yes,
36,Dead Man Walking (1995),"6,8",112818,http://www.imdb.com/title/tt0112818,,,3.8,yes,
38,It Takes Two (1995),"4,5",113442,http://www.imdb.com/title/tt0113442,,,2.1,no,
39,Clueless (1995),"5,14",112697,http://www.imdb.com/title/tt0112697,,,3.3,yes,
40,"Cry, the Beloved Country (1995)",8,112749,http://www.imdb.com/title/tt0112749,,,4.2,yes,
41,Richard III (1995),"8,17",114279,http://www.imdb.com/title/tt0114279,,,3.7,yes,
42,Dead Presidents (1995),"1,6,8",112819,http://www.imdb.com/title/tt0112819,,,3,no,
43,Restoration (1995),8,114272,http://www.imdb.com/title/tt0114272,,,3.2,yes,
44,Mortal Kombat (1995),"1,2,9",113855,http://www.imdb.com/title/tt0113855,,,2.5,no,
45,To Die For (1995),"5,8,16",114681,http://www.imdb.com/title/tt0114681,,,3.3,yes,
46,How to Make an American Quilt (1995),"8,14",113347,http://www.imdb.com/title/tt0113347,,,3.1,yes,
47,Seven (a.k.a. Se7en) (1995),"13,16",114369,http://www.imdb.com/title/tt0114369,,,4,yes,
48,Pocahontas (1995),"3,4,8,12,14",114148,http://www.imdb.com/title/tt0114148,,,3.1,yes,
49,When Night Is Falling (1995),"8,14",114916,http://www.imdb.com/title/tt0114916,,,3,no,
50,"Usual Suspects, The (1995)","6,13,16",114814,http://www.imdb.com/title/tt0114814,,,4.2,yes,
52,Mighty Aphrodite (1995),"5,8,14",113819,http://www.imdb.com/title/tt0113819,,,3.5,yes,
53,Lamerica (1994),"2,8",110299,http://www.imdb.com/title/tt0110299,,,5,yes,
54,"Big Green, The (1995)","4,5",112499,http://www.imdb.com/title/tt0112499,,,2.3,no,
55,Georgia (1995),8,113158,http://www.imdb.com/title/tt0113158,,,4,yes,
57,Home for the Holidays (1995),8,113321,http://www.imdb.com/title/tt0113321,,,3.1,yes,
58,"Postman, The (Postino, Il) (1994)","5,8,14",110877,http://www.imdb.com/title/tt0110877,,,4,yes,
60,"Indian in the Cupboard, The (1995)","2,4,9",113419,http://www.imdb.com/title/tt0113419,,,3.2,yes,
61,Eye for an Eye (1996),"8,16",116260,http://www.imdb.com/title/tt0116260,,,3.8,yes,
62,Mr. Holland's Opus (1995),8,113862,http://www.imdb.com/title/tt0113862,,,3.7,yes,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"5,6",116126,http://www.imdb.com/title/tt0116126,,,2.7,no,
64,Two if by Sea (1996),"5,14",118002,http://www.imdb.com/title/tt0118002,,,2.2,no,
65,Bio-Dome (1996),5,115683,http://www.imdb.com/title/tt0115683,,,2.5,no,
66,Lawnmower Man 2: Beyond Cyberspace (1996),"1,15,16",116839,http://www.imdb.com/title/tt0116839,,,2.5,no,
68,French Twist (Gazon maudit) (1995),"5,14",113149,http://www.imdb.com/title/tt0113149,,,3.4,yes,
69,Friday (1995),5,113118,http://www.imdb.com/title/tt0113118,,,3.8,yes,
70,From Dusk Till Dawn (1996),"1,5,11,16",116367,http://www.imdb.com/title/tt0116367,,,3.5,yes,
71,Fair Game (1995),1,113010,http://www.imdb.com/title/tt0113010,,,1.7,no,
72,Kicking and Screaming (1995),"5,8",113537,http://www.imdb.com/title/tt0113537,,,3.2,yes,
73,"Misérables, Les (1995)","8,17",113828,http://www.imdb.com/title/tt0113828,,,3.5,yes,
74,Bed of Roses (1996),"8,14",115644,http://www.imdb.com/title/tt0115644,,,4,yes,
75,Big Bully (1996),"5,8",115676,http://www.imdb.com/title/tt0115676,,,2.2,no,
76,Screamers (1995),"1,15,16",114367,http://www.imdb.com/title/tt0114367,,,3.4,yes,
77,Nico Icon (1995),7,113973,http://www.imdb.com/title/tt0113973,,,4,yes,
78,"Crossing Guard, The (1995)","1,6,8,16",112744,http://www.imdb.com/title/tt0112744,,,3.3,yes,
79,"Juror, The (1996)","8,16",116731,http://www.imdb.com/title/tt0116731,,,2.8,no,
80,"White Balloon, The (Badkonake sefid) (1995)","4,8",112445,http://www.imdb.com/title/tt0112445,,,4,yes,
81,Things to Do in Denver When You're Dead (1995),"6,8,14",114660,http://www.imdb.com/title/tt0114660,,,3.1,yes,
82,Antonia's Line (Antonia) (1995),"5,8",112379,http://www.imdb.com/title/tt0112379,,,3.9,yes,
83,Once Upon a Time... When We Were Colored (1995),"8,14",114039,http://www.imdb.com/title/tt0114039,,,3,no,
85,Angels and Insects (1995),"8,14",112365,http://www.imdb.com/title/tt0112365,,,3.9,yes,
86,White Squall (1996),"1,2,8",118158,http://www.imdb.com/title/tt0118158,,,4,yes,
87,Dunston Checks In (1996),"4,5",116151,http://www.imdb.com/title/tt0116151,,,2.5,no,
88,Black Sheep (1996),5,115697,http://www.imdb.com/title/tt0115697,,,3.2,yes,
89,Nick of Time (1995),"1,16",113972,http://www.imdb.com/title/tt0113972,,,3.2,yes,
92,Mary Reilly (1996),"8,11,16",117002,http://www.imdb.com/title/tt0117002,,,2.6,no,
93,Vampire in Brooklyn (1995),"5,11,14",114825,http://www.imdb.com/title/tt0114825,,,2.8,no,
94,Beautiful Girls (1996),"5,8,14",115639,http://www.imdb.com/title/tt0115639,,,4,yes,
95,Broken Arrow (1996),"1,2,16",115759,http://www.imdb.com/title/tt0115759,,,3,no,
96,In the Bleak Midwinter (1995),"5,8",113403,http://www.imdb.com/title/tt0113403,,,3.5,yes,
97,"Hate (Haine, La) (1995)","6,8",113247,http://www.imdb.com/title/tt0113247,,,3.9,yes,
99,Heidi Fleiss: Hollywood Madam (1995),7,113283,http://www.imdb.com/title/tt0113283,,,5,yes,
100,City Hall (1996),"8,16",115907,http://www.imdb.com/title/tt0115907,,,2.8,no,
101,Bottle Rocket (1996),"2,5,6,14",115734,http://www.imdb.com/title/tt0115734,,,3.8,yes,
102,Mr. Wrong (1996),5,117102,http://www.imdb.com/title/tt0117102,,,2.4,no,
103,Unforgettable (1996),"13,15,16",118040,http://www.imdb.com/title/tt0118040,,,3,no,
104,Happy Gilmore (1996),5,116483,http://www.imdb.com/title/tt0116483,,,3.4,yes,
105,"Bridges of Madison County, The (1995)","8,14",112579,http://www.imdb.com/title/tt0112579,,,3.3,yes,
106,Nobody Loves Me (Keiner liebt mich) (1994),"5,8",110251,http://www.imdb.com/title/tt0110251,,,4,yes,
107,Muppet Treasure Island (1996),"2,4,5,12",117110,http://www.imdb.com/title/tt0117110,,,3.3,yes,
108,Catwalk (1996),7,112646,http://www.imdb.com/title/tt0112646,,,4,yes,
110,Braveheart (1995),"1,8,17",112573,http://www.imdb.com/title/tt0112573,,,4,yes,
111,Taxi Driver (1976),"6,8,16",75314,http://www.imdb.com/title/tt075314,,,4.1,yes,
112,Rumble in the Bronx (Hont faan kui) (1995),"1,2,5,6",113326,http://www.imdb.com/title/tt0113326,,,3.5,yes,
113,Before and After (1996),"8,13",115645,http://www.imdb.com/title/tt0115645,,,3.3,yes,
116,Anne Frank Remembered (1995),7,112373,http://www.imdb.com/title/tt0112373,,,3.9,yes,
117,"Young Poisoner's Handbook, The (1995)","6,8",115033,http://www.imdb.com/title/tt0115033,,,3,no,
118,If Lucy Fell (1996),"5,14",116606,http://www.imdb.com/title/tt0116606,,,2.5,no,
119,"Steal Big, Steal Little (1995)",5,114536,http://www.imdb.com/title/tt0114536,,,3,no,
121,"Boys of St. Vincent, The (1992)",8,106473,http://www.imdb.com/title/tt0106473,,,4,yes,
122,Boomerang (1992),"5,14",103859,http://www.imdb.com/title/tt0103859,,,2.7,no,
123,Chungking Express (Chung Hing sam lam) (1994),"8,13,14",109424,http://www.imdb.com/title/tt0109424,,,4.4,yes,
125,Flirting With Disaster (1996),5,116324,http://www.imdb.com/title/tt0116324,,,3.6,yes,
126,"NeverEnding Story III, The (1994)","2,4,9",110647,http://www.imdb.com/title/tt0110647,,,2,no,
128,Jupiter's Wife (1994),7,110217,http://www.imdb.com/title/tt0110217,,,3,no,
129,Pie in the Sky (1996),"5,14",114131,http://www.imdb.com/title/tt0114131,,,2,no,
132,Jade (1995),16,113451,http://www.imdb.com/title/tt0113451,,,2.8,no,
135,Down Periscope (1996),5,116130,http://www.imdb.com/title/tt0116130,,,3,no,
137,Man of the Year (1995),7,113756,http://www.imdb.com/title/tt0113756,,,3,no,
140,Up Close and Personal (1996),"8,14",118055,http://www.imdb.com/title/tt0118055,,,3.5,yes,
141,"Birdcage, The (1996)",5,115685,http://www.imdb.com/title/tt0115685,,,3.5,yes,
144,"Brothers McMullen, The (1995)",5,112585,http://www.imdb.com/title/tt0112585,,,3.3,yes,
145,Bad Boys (1995),"1,5,6,8,16",112442,http://www.imdb.com/title/tt0112442,,,3.2,yes,
146,"Amazing Panda 2, The (1995)","2,4",112342,http://www.imdb.com/title/tt0112342,,,3.3,yes,
147,"Basketball Diaries, The (1995)",8,112461,http://www.imdb.com/title/tt0112461,,,3.5,yes,
148,"Awfully Big 2, An (1995)",8,112427,http://www.imdb.com/title/tt0112427,,,5,yes,
149,Amateur (1994),"6,8,16",109093,http://www.imdb.com/title/tt0109093,,,2,no,
150,Apollo 13 (1995),"2,8,19",112384,http://www.imdb.com/title/tt0112384,,,3.8,yes,
151,Rob Roy (1995),"1,8,14,17",114287,http://www.imdb.com/title/tt0114287,,,3.5,yes,
152,"Addiction, The (1995)","8,11",112288,http://www.imdb.com/title/tt0112288,,,1.5,no,
153,Batman Forever (1995),"1,2,5,6",112462,http://www.imdb.com/title/tt0112462,,,2.9,no,
154,Beauty of the Day (Belle de jour) (1967),8,61395,http://www.imdb.com/title/tt061395,,,3.9,yes,
155,Beyond Rangoon (1995),"2,8,17",112495,http://www.imdb.com/title/tt0112495,,,2.4,no,
156,Blue in the Face (1995),"5,8",112541,http://www.imdb.com/title/tt0112541,,,3.3,yes,
157,Canadian Bacon (1995),"5,17",109370,http://www.imdb.com/title/tt0109370,,,2.9,no,
158,Casper (1995),"2,4",112642,http://www.imdb.com/title/tt0112642,,,2.8,no,
159,Clockers (1995),"6,8,13",112688,http://www.imdb.com/title/tt0112688,,,2.9,no,
160,Congo (1995),"1,2,13,15",112715,http://www.imdb.com/title/tt0112715,,,2.9,no,
161,Crimson Tide (1995),"8,16,17",112740,http://www.imdb.com/title/tt0112740,,,3.6,yes,
162,Crumb (1994),7,109508,http://www.imdb.com/title/tt0109508,,,4.2,yes,
163,Desperado (1995),"1,14,18",112851,http://www.imdb.com/title/tt0112851,,,3.6,yes,
164,Devil in a Blue Dress (1995),"6,10,13,16",112857,http://www.imdb.com/title/tt0112857,,,3.3,yes,
165,Die Hard: With a Vengeance (1995),"1,6,16",112864,http://www.imdb.com/title/tt0112864,,,3.6,yes,
166,"Doom Generation, The (1995)","5,6,8",112887,http://www.imdb.com/title/tt0112887,,,2.8,no,
168,First Knight (1995),"1,8,14",113071,http://www.imdb.com/title/tt0113071,,,3.1,yes,
169,Free Willy 2: The 2 Home (1995),"2,4,8",113114,http://www.imdb.com/title/tt0113114,,,2.4,no,
170,Hackers (1995),"1,2,6,16",113243,http://www.imdb.com/title/tt0113243,,,3.2,yes,
171,Jeffrey (1995),"5,8",113464,http://www.imdb.com/title/tt0113464,,,3.8,yes,
172,Johnny Mnemonic (1995),"1,15,16",113481,http://www.imdb.com/title/tt0113481,,,2.7,no,
173,Judge Dredd (1995),"1,6,15",113492,http://www.imdb.com/title/tt0113492,,,2.7,no,
174,Jury Duty (1995),5,113500,http://www.imdb.com/title/tt0113500,,,2.7,no,
175,Kids (1995),8,113540,http://www.imdb.com/title/tt0113540,,,4,yes,
176,Living in Oblivion (1995),5,113677,http://www.imdb.com/title/tt0113677,,,4.3,yes,
177,Lord of Illusions (1995),11,113690,http://www.imdb.com/title/tt0113690,,,2.8,no,
178,Love & Human Remains (1993),"5,8",107447,http://www.imdb.com/title/tt0107447,,,1,no,
179,Mad Love (1995),"8,14",113729,http://www.imdb.com/title/tt0113729,,,1.5,no,
180,Mallrats (1995),"5,14",113749,http://www.imdb.com/title/tt0113749,,,3.4,yes,
181,Mighty Morphin Power Rangers: The Movie (1995),"1,4",113820,http://www.imdb.com/title/tt0113820,,,2.3,no,
183,Mute Witness (1994),"5,11,16",110604,http://www.imdb.com/title/tt0110604,,,3.5,yes,
184,Nadja (1994),8,110620,http://www.imdb.com/title/tt0110620,,,3.5,yes,
185,"Net, The (1995)","1,6,16",113957,http://www.imdb.com/title/tt0113957,,,3,no,
186,Nine Months (1995),"5,14",113986,http://www.imdb.com/title/tt0113986,,,2.8,no,
187,Party Girl (1995),5,114095,http://www.imdb.com/title/tt0114095,,,4.1,yes,
188,"Prophecy, The (1995)","9,11,13",114194,http://www.imdb.com/title/tt0114194,,,3.5,yes,
189,Reckless (1995),"5,9",114241,http://www.imdb.com/title/tt0114241,,,3,no,
190,Safe (1995),16,114323,http://www.imdb.com/title/tt0114323,,,2.8,no,
191,"Scarlet Letter, The (1995)","8,14",114345,http://www.imdb.com/title/tt0114345,,,2.4,no,
193,Showgirls (1995),8,114436,http://www.imdb.com/title/tt0114436,,,2.5,no,
194,Smoke (1995),"5,8",114478,http://www.imdb.com/title/tt0114478,,,3.7,yes,
195,Something to Talk About (1995),"5,8,14",114496,http://www.imdb.com/title/tt0114496,,,3.1,yes,
196,Species (1995),"11,15",114508,http://www.imdb.com/title/tt0114508,,,2.7,no,
198,Strange Days (1995),"1,6,8,13,15,16",114558,http://www.imdb.com/title/tt0114558,,,3.2,yes,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","8,12,14",58450,http://www.imdb.com/title/tt058450,,,4.1,yes,
201,Three Wishes (1995),"8,9",114663,http://www.imdb.com/title/tt0114663,,,3,no,
202,Total Eclipse (1995),"8,14",114702,http://www.imdb.com/title/tt0114702,,,3,no,
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",5,114682,http://www.imdb.com/title/tt0114682,,,3.4,yes,
204,Under Siege 2: Dark Territory (1995),1,114781,http://www.imdb.com/title/tt0114781,,,2.7,no,
205,Unstrung Heroes (1995),"5,8",114798,http://www.imdb.com/title/tt0114798,,,3.2,yes,
206,Unzipped (1995),7,114805,http://www.imdb.com/title/tt0114805,,,3,no,
207,"Walk in the Clouds, A (1995)","8,14",114887,http://www.imdb.com/title/tt0114887,,,3.4,yes,
208,Waterworld (1995),"1,2,15",114898,http://www.imdb.com/title/tt0114898,,,2.9,no,
209,White Man's Burden (1995),8,114928,http://www.imdb.com/title/tt0114928,,,3.2,yes,
210,Wild Bill (1995),18,114938,http://www.imdb.com/title/tt0114938,,,3,no,
211,"Browning Version, The (1994)",8,109340,http://www.imdb.com/title/tt0109340,,,3.5,yes,
212,Bushwhacked (1995),"2,5,6,13",112602,http://www.imdb.com/title/tt0112602,,,3,no,
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),8,111579,http://www.imdb.com/title/tt0111579,,,3.8,yes,
214,Before the Rain (Pred dozhdot) (1994),"8,17",110882,http://www.imdb.com/title/tt0110882,,,4,yes,
215,Before Sunrise (1995),"8,14",112471,http://www.imdb.com/title/tt0112471,,,4,yes,
216,Billy Madison (1995),5,112508,http://www.imdb.com/title/tt0112508,,,3.3,yes,
217,"Babysitter, The (1995)","8,16",112438,http://www.imdb.com/title/tt0112438,,,2.3,no,
218,Boys on the Side (1995),"5,8",112571,http://www.imdb.com/title/tt0112571,,,3.4,yes,
219,"Cure, The (1995)",8,112757,http://www.imdb.com/title/tt0112757,,,3,no,
220,Castle Freak (1995),11,112643,http://www.imdb.com/title/tt0112643,,,3,no,
222,Circle of Friends (1995),"8,14",112679,http://www.imdb.com/title/tt0112679,,,3.8,yes,
223,Clerks (1994),5,109445,http://www.imdb.com/title/tt0109445,,,3.9,yes,
224,Don Juan DeMarco (1995),"5,8,14",112883,http://www.imdb.com/title/tt0112883,,,3.6,yes,
225,Disclosure (1994),"8,16",109635,http://www.imdb.com/title/tt0109635,,,3.5,yes,
227,Drop Zone (1994),"1,16",109676,http://www.imdb.com/title/tt0109676,,,2.9,no,
228,Destiny Turns on the Radio (1995),5,112854,http://www.imdb.com/title/tt0112854,,,2.3,no,
229,Death and the Maiden (1994),"8,16",109579,http://www.imdb.com/title/tt0109579,,,3.4,yes,
230,Dolores Claiborne (1995),"8,16",109642,http://www.imdb.com/title/tt0109642,,,3.4,yes,
231,Dumb & Dumber (Dumb and Dumber) (1994),"2,5",109686,http://www.imdb.com/title/tt0109686,,,3.1,yes,
232,Eat Drink Man Woman (Yin shi nan nu) (1994),"5,8,14",111797,http://www.imdb.com/title/tt0111797,,,3.9,yes,
233,Exotica (1994),8,109759,http://www.imdb.com/title/tt0109759,,,3.5,yes,
234,Exit to Eden (1994),5,109758,http://www.imdb.com/title/tt0109758,,,2.6,no,
235,Ed Wood (1994),"5,8",109707,http://www.imdb.com/title/tt0109707,,,3.7,yes,
236,French Kiss (1995),"1,5,14",113117,http://www.imdb.com/title/tt0113117,,,3.5,yes,
237,Forget Paris (1995),"5,14",113097,http://www.imdb.com/title/tt0113097,,,3.3,yes,
238,Far From Home: The 2s of Yellow Dog (1995),"2,4",113028,http://www.imdb.com/title/tt0113028,,,4,yes,
239,"Goofy Movie, A (1995)","3,4,5,14",113198,http://www.imdb.com/title/tt0113198,,,3,no,
240,Hideaway (1995),16,113303,http://www.imdb.com/title/tt0113303,,,2.4,no,
241,Fluke (1995),"4,8",113089,http://www.imdb.com/title/tt0113089,,,4,yes,
242,Farinelli: il castrato (1994),"8,12",109771,http://www.imdb.com/title/tt0109771,,,3.6,yes,
243,Gordy (1995),"4,5,9",113199,http://www.imdb.com/title/tt0113199,,,3,no,
246,Hoop Dreams (1994),7,110057,http://www.imdb.com/title/tt0110057,,,4.3,yes,
247,Heavenly Creatures (1994),"6,8",110005,http://www.imdb.com/title/tt0110005,,,3.9,yes,
248,Houseguest (1994),5,110066,http://www.imdb.com/title/tt0110066,,,3.2,yes,
249,Immortal Beloved (1994),"8,14",110116,http://www.imdb.com/title/tt0110116,,,3.7,yes,
250,Heavyweights (Heavy Weights) (1995),"4,5",110006,http://www.imdb.com/title/tt0110006,,,2.5,no,
251,"Hunted, The (1995)",1,113360,http://www.imdb.com/title/tt0113360,,,3,no,
252,I.Q. (1994),"5,14",110099,http://www.imdb.com/title/tt0110099,,,3.5,yes,
253,Interview with the Vampire: The Vampire Chronicles (1994),"8,11",110148,http://www.imdb.com/title/tt0110148,,,3.5,yes,
254,Jefferson in Paris (1995),8,113463,http://www.imdb.com/title/tt0113463,,,3,no,
255,"Jerky Boys, The (1995)",5,110189,http://www.imdb.com/title/tt0110189,,,2.1,no,
256,Junior (1994),"5,15",110216,http://www.imdb.com/title/tt0110216,,,2.8,no,
257,Just Cause (1995),"13,16",113501,http://www.imdb.com/title/tt0113501,,,3.5,yes,
258,"Kid in King Arthur's Court, A (1995)","2,4,5,9,14",113538,http://www.imdb.com/title/tt0113538,,,2.6,no,
259,Kiss of Death (1995),"6,8,16",113552,http://www.imdb.com/title/tt0113552,,,3.2,yes,
260,Star 17s: Episode IV - A New Hope (1977),"1,2,15",76759,http://www.imdb.com/title/tt076759,,,4.2,yes,
261,Little Women (1994),8,110367,http://www.imdb.com/title/tt0110367,,,3.9,yes,
262,"Little Princess, A (1995)","4,8",113670,http://www.imdb.com/title/tt0113670,,,3.9,yes,
263,Ladybird Ladybird (1994),8,110296,http://www.imdb.com/title/tt0110296,,,4,yes,
265,Like Water for Chocolate (Como agua para chocolate) (1992),"8,9,14",103994,http://www.imdb.com/title/tt0103994,,,3.9,yes,
266,Legends of the Fall (1994),"8,14,17,18",110322,http://www.imdb.com/title/tt0110322,,,3.4,yes,
267,Major Payne (1995),5,110443,http://www.imdb.com/title/tt0110443,,,2.9,no,
269,My Crazy Life (Mi vida loca) (1993),8,107566,http://www.imdb.com/title/tt0107566,,,3,no,
270,Love Affair (1994),"8,14",110391,http://www.imdb.com/title/tt0110391,,,3.4,yes,
271,Losing Isaiah (1995),8,113691,http://www.imdb.com/title/tt0113691,,,3.5,yes,
272,"Madness of King George, The (1994)","5,8",110428,http://www.imdb.com/title/tt0110428,,,3.8,yes,
273,Mary Shelley's Frankenstein (Frankenstein) (1994),"8,11,15",109836,http://www.imdb.com/title/tt0109836,,,2.9,no,
274,Man of the House (1995),5,113755,http://www.imdb.com/title/tt0113755,,,2.9,no,
275,Mixed Nuts (1994),5,110538,http://www.imdb.com/title/tt0110538,,,2,no,
276,Milk Money (1994),"5,14",110516,http://www.imdb.com/title/tt0110516,,,3.2,yes,
277,Miracle on 34th Street (1994),8,110527,http://www.imdb.com/title/tt0110527,,,3.2,yes,
278,Miami Rhapsody (1995),5,113808,http://www.imdb.com/title/tt0113808,,,1.5,no,
279,My Family (1995),8,113896,http://www.imdb.com/title/tt0113896,,,3,no,
280,Murder in the First (1995),"8,16",113870,http://www.imdb.com/title/tt0113870,,,4.1,yes,
281,Nobody's Fool (1994),"5,8,14",110684,http://www.imdb.com/title/tt0110684,,,3.8,yes,
282,Nell (1994),8,110638,http://www.imdb.com/title/tt0110638,,,3.3,yes,
283,New Jersey Drive (1995),"6,8",113967,http://www.imdb.com/title/tt0113967,,,3.7,yes,
284,New York Cop (Nyû Yôku no koppu) (1993),"1,6",117169,http://www.imdb.com/title/tt0117169,,,4.5,yes,
285,Beyond Bedlam (1993),"8,11",106402,http://www.imdb.com/title/tt0106402,,,4,yes,
287,Nina Takes a Lover (1994),"5,14",110671,http://www.imdb.com/title/tt0110671,,,3,no,
288,Natural Born Killers (1994),"1,6,16",110632,http://www.imdb.com/title/tt0110632,,,3.2,yes,
289,Only You (1994),"5,14",110737,http://www.imdb.com/title/tt0110737,,,3.6,yes,
290,Once Were 17riors (1994),"6,8",110729,http://www.imdb.com/title/tt0110729,,,4,yes,
291,Poison Ivy II (1996),"8,16",114151,http://www.imdb.com/title/tt0114151,,,2.3,no,
292,Outbreak (1995),"1,8,15,16",114069,http://www.imdb.com/title/tt0114069,,,3.4,yes,
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"1,6,8,16",110413,http://www.imdb.com/title/tt0110413,,,4,yes,
294,"Perez Family, The (1995)","5,14",114113,http://www.imdb.com/title/tt0114113,,,3,no,
295,"Pyromaniac's Love Story, A (1995)","5,14",114210,http://www.imdb.com/title/tt0114210,,,3,no,
296,Pulp Fiction (1994),"5,6,8,16",110912,http://www.imdb.com/title/tt0110912,,,4.2,yes,
298,Pushing Hands (Tui shou) (1992),8,105652,http://www.imdb.com/title/tt0105652,,,2,no,
299,Priest (1994),8,110889,http://www.imdb.com/title/tt0110889,,,4,yes,
300,Quiz Show (1994),8,110932,http://www.imdb.com/title/tt0110932,,,3.5,yes,
301,Picture Bride (Bijo photo) (1994),"8,14",114129,http://www.imdb.com/title/tt0114129,,,4,yes,
302,"Queen Margot (Reine Margot, La) (1994)","8,14",110963,http://www.imdb.com/title/tt0110963,,,3.2,yes,
303,"Quick and the Dead, The (1995)","1,16,18",114214,http://www.imdb.com/title/tt0114214,,,3,no,
304,Roommates (1995),"5,8",114296,http://www.imdb.com/title/tt0114296,,,3.7,yes,
305,Ready to Wear (Pret-A-Porter) (1994),5,110907,http://www.imdb.com/title/tt0110907,,,2.8,no,
306,Three Colors: Red (Trois couleurs: Rouge) (1994),8,111495,http://www.imdb.com/title/tt0111495,,,4.2,yes,
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),8,108394,http://www.imdb.com/title/tt0108394,,,3.9,yes,
308,Three Colors: White (Trzy kolory: Bialy) (1994),"5,8",111507,http://www.imdb.com/title/tt0111507,,,4,yes,
310,Rent-a-Kid (1995),5,114268,http://www.imdb.com/title/tt0114268,,,3,no,
311,Relative Fear (1994),"11,16",110965,http://www.imdb.com/title/tt0110965,,,3,no,
312,Stuart Saves His Family (1995),5,114571,http://www.imdb.com/title/tt0114571,,,1.4,no,
313,"Swan Princess, The (1994)","3,4",111333,http://www.imdb.com/title/tt0111333,,,3.3,yes,
314,"Secret of Roan Inish, The (1994)","4,8,9,13",111112,http://www.imdb.com/title/tt0111112,,,3.8,yes,
315,"Specialist, The (1994)","1,8,16",111255,http://www.imdb.com/title/tt0111255,,,3.1,yes,
316,Stargate (1994),"1,2,15",111282,http://www.imdb.com/title/tt0111282,,,3.4,yes,
317,"Santa Clause, The (1994)","5,8,9",111070,http://www.imdb.com/title/tt0111070,,,3.2,yes,
318,"Shawshank Redemption, The (1994)","6,8",111161,http://www.imdb.com/title/tt0111161,,,4.4,yes,
